,,,,Tipo,DESAYUNO,,,,,,DESAYUNO NEGOCIADO,,,,DESAYUNO GRUPOS,,,,,,
[112] Hotel Alda Avenida,TRUE,FALSE,"10,0%",Galicia Centro,,,,,"8,95 €","5,00 €",,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,
[113] Hotel Alda Vía León,TRUE,FALSE,,Castilla y Leon Centro,"8,95 €","5,50 €",,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[114] Hotel Alda Bonaval,TRUE,FALSE,,Galicia Centro,"8,95 €","5,50 €",-,-,,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[115] Hotel Alda San Bieito,TRUE,FALSE,,Galicia Centro,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[116] Alda Camiño Inglés,TRUE,FALSE,,Galicia Centro,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"4,00 €","4,00 €",,,,,
[117] Alda Vía De La Plata Rooms,TRUE,FALSE,,Castilla y Leon Centro,-,-,-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[118] Alda Fogar Natural (Compostela),TRUE,FALSE,,Galicia Centro,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,Servicio Bonaval
[119] Alda Pilgrim Astorga,FALSE,FALSE,,Castilla y Leon Centro,,,,,,,,,,,,,,,,,
[201] Hotel Alda Entrearcos,TRUE,FALSE,,Castilla y Leon Centro,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[202] Hotel Alda Centro Palencia,FALSE,FALSE,,Castilla y Leon Centro,-,-,-,-,-,,-,-,,,,,,,,,
[204] Hotel Alda Cardeña,TRUE,FALSE,,Castilla y Leon Centro,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[205] Hostal Alda Palencia Plaza,FALSE,FALSE,,Castilla y Leon Centro,-,-,-,-,-,-,-,-,,,,,,,,,
[206] Hotel Alda Centro Ponferrada,TRUE,TRUE,"10,0%",Ponferrada,,,-,-,"8,95 €","5,50 €",,,"5,50 €","5,00 €",,,"6,50 €","6,50 €",,,
[207] Hotel Alda Ciudad De Soria,TRUE,FALSE,,Soria y Haro,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[208] Albergue Alda Estella Hostel,TRUE,FALSE,,Aragon y Navarra,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[209] Hotel Alda Río Duero,TRUE,FALSE,,Soria y Haro,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[211] Hotel Alda Jolio Jaca,TRUE,FALSE,,Aragon y Navarra,,,,-,"7,95 €","5,00 €",,,,,,,"6,50 €","6,50 €",,,
[213] Albergue Alda Pilgrim Ponferrada,TRUE,TRUE,"10,0%",Ponferrada,,,-,-,"8,95 €","5,50 €",,,"5,50 €","5,00 €",,,"6,50 €","6,50 €",,,
[214] Hotel Alda Centro Pamplona,TRUE,FALSE,,Aragon y Navarra,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[215] Hotel Alda Zaragoza Independencia,TRUE,FALSE,,Aragon y Navarra,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[216] Hotel Alda Mercado De Zamora,TRUE,FALSE,,Castilla y Leon Sur,"8,95 €","5,50 €",-,-,,,"5,50 €","5,00 €",,,"7,95 €","5,00 €","6,50 €","6,50 €",,,
[217] Hotel Alda Río Tormes,TRUE,FALSE,,Castilla y Leon Sur,-,-,-,-,"6,50 €","3,25 €",-,-,,,"5,50 €","5,00 €",,,"3,00 €",,
[218] Hotel Alda Ciudad de Toro,TRUE,FALSE,,Castilla y Leon Sur,-,-,-,-,"4,80 €","4,80 €",-,-,"4,80 €","4,80 €","4,80 €","4,80 €","6,50 €","6,50 €",,,
[219] Hotel Alda Castillo De Olite,TRUE,FALSE,,Aragon y Navarra,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[220] Hotel Alda Malvasía,TRUE,FALSE,,Soria y Haro,,,-,-,"8,50 €","8,50 €",,,"5,50 €","5,50 €",,,"6,50 €","6,50 €",,,
[222] Hotel Alda Mirador Del Moncayo,TRUE,FALSE,,Soria y Haro,"8,95 €","5,50 €",-,-,"8,95 €","5,50 €","5,50 €","5,00 €","5,50 €","5,00 €","5,50 €","5,00 €","5,50 €","5,00 €",,,
[223] Hotel Alda Puerto Seco,TRUE,TRUE,"10,0%",Soria y Haro,-,-,"7,50 €","5,50 €",,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[224] Hotel Alda Valladolid Sur,TRUE,FALSE,,Castilla y Leon Centro,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,"3,00 €",,
[225] Zeta Students,FALSE,FALSE,,Castilla y Leon Centro,,,,,,,,,,,,,,,,"15,00 €",
[226] Hostal Alda Centro Zamora,TRUE,FALSE,,Castilla y Leon Sur,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,,,,,,,Se sirven en Mercado de Zamora
[227] Hotel Alda Soria Rooms,TRUE,FALSE,,Soria y Haro,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[229] Alda Peñafiel,FALSE,FALSE,,Castilla y Leon Centro,,,,,,,,,,,,,,,,,
[230] Hotel Alda Egues Rooms,TRUE,FALSE,,Aragon y Navarra,,,,,"6,30 €","6,30 €",,,,,,,"6,30 €","6,30 €",,,
[231] Hotel Alda Triskel,TRUE,FALSE,,Aragon y Navarra,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[233] Hotel Alda El Espinar,TRUE,FALSE,,Castilla y Leon Sur,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €","6,50 €","5,00 €",,,
[234] Alda Guijuelo,TRUE,FALSE,,Castilla y Leon Sur,,,"7,50 €","5,50 €",,,,,,,"5,50 €","5,00 €",,,,,
[235] Alda A Boira,TRUE,FALSE,,Aragon y Navarra,"8,95 €","5,50 €",,,,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[236] Alda Plaza Mayor Toro,FALSE,FALSE,,Castilla y Leon Sur,,,,,,,,,,,,,,,,,
[237] Hotel Alda Ruta Castilla,FALSE,FALSE,,Castilla y Leon Centro,,,,,,,,,,,,,,,,,
[238] Hotel Alda Ciudad de Corella,FALSE,FALSE,,Aragon y Navarra,,,,,,,,,,,,,,,,,
[301] Hotel Alda Bueumar,TRUE,FALSE,,Rias Baixas,-,-,-,-,"4,5€ TB-  6,5€ jul. agos.","4,5€ TB-  6,5€ jul. agos.","5,50 €","5,00 €",,,,,"4,50 €","4,50 €",,,
[302] Hotel Alda Estación Vigo,TRUE,FALSE,,Rias Baixas,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[303] Hotel Alda Puerta Del Sol,FALSE,FALSE,,Rias Baixas,-,-,-,-,-,,-,-,,,,,,,,,
[305] Alda Estación Pontevedra,TRUE,FALSE,,Rias Baixas,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[306] Hotel Alda Estación Ourense,TRUE,FALSE,,Galicia Centro,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[308] Hotel Alda Vía Norte,TRUE,FALSE,,Rias Baixas,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[309] Hotel Alda Lalín,TRUE,FALSE,,Galicia Centro,-,-,-,-,"9,00 €","9,00 €",,,"8,00 €","8,00 €",,,"9,00 €","9,00 €",,,
[310] Hotel Alda Palas de Rei,TRUE,FALSE,,Galicia Centro,"8,95 €","5,50 €",,,-,,"5,50 €","5,00 €",,,"5,50 €","5,50 €",,,,,
[312] Hotel Alda Centro Pontevedra,TRUE,FALSE,,Rias Baixas,"8,95 €","5,50 €","3,80 €",-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[313] Hotel Alda Carril,TRUE,FALSE,,Rias Baixas,"8,95 €","5,50 €",,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[314] Hotel Alda Castelao,TRUE,FALSE,,Rias Baixas,"8,95 €","5,50 €",,-,,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[315] Hotel Alda Boiro,TRUE,FALSE,,Rias Baixas,,-,"7,50 €","5,50 €",,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[316] Hotel Alda Barraña Playa,FALSE,FALSE,,Rias Baixas,-,-,"7,50 €","5,50 €",-,,-,-,,,,,,,,,
[318] Hotel Alda Alpina,TRUE,FALSE,,Rias Baixas,"8,95 €","5,50 €",,-,,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[319] Hotel Alda Ribeira,TRUE,FALSE,,Rias Baixas,,-,"7,50 €","5,50 €",,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[320] Alda Xinzo,TRUE,TRUE,,Galicia Interior,,,"7,50 €","5,50 €",,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[401] Hotel Alda Puerta Coruña,TRUE,FALSE,,Rias Altas,-,-,-,-,"4,00 €","4,00 €",-,-,"4,00 €","4,00 €",,,"4,00 €","4,00 €",,,
[402] Hotel Alda Santa Cristina,TRUE,FALSE,,Rias Altas,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[403] Hotel Sada Marina,TRUE,FALSE,,Rias Altas,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"4,50 €","4,50 €",,,"4,00 €",,
[404] Apartamentos Alda Santa Cristina,TRUE,FALSE,,Rias Altas,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,Servicio en Santa Cristina
[405] Hotel Alda El Suizo,TRUE,FALSE,,Rias Altas,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[406] Hotel Alda Centro Gijón,TRUE,TRUE,"10,0%",Asturias,-,-,-,-,"4,50 €","4,50 €",-,-,,,,,"6,50 €","6,50 €",,,
[407] Hotel Alda Palacio Valdés,TRUE,FALSE,,Asturias,-,-,,,"4,80 €","4,80 €",,,"5,50 €","5,50 €",,,"4,80 €","4,80 €",,,
[408] Hotel Alda Galería Coruña,TRUE,FALSE,,Rias Altas,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,, Servicio en Alborán
[409] Hotel Alda El Pasaje,TRUE,FALSE,,Asturias,"8,95 €","5,50 €",-,-,,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[410] Hotel Alda Centro Oviedo,TRUE,FALSE,,Asturias,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[411] Hotel Alda Estación Oviedo,FALSE,FALSE,,Asturias,-,-,-,-,-,,-,-,,,,,,,,,
[412] Hotel Alda Miramar,FALSE,FALSE,,Asturias,-,-,-,-,-,,-,-,,,,,,,,,-
[413] Hotel Alda Orzán,TRUE,FALSE,,Rias Altas,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[414] Hotel Alda Alborán Rooms,TRUE,FALSE,,Rias Altas,-,-,"7,50 €","5,50 €",-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[415] Hotel Alda Don Carlos,TRUE,TRUE,,Asturias,,,-,-,"8,95 €","5,50 €",,,"5,50 €","5,00 €",,,"8,95 €","5,50 €",,,
[416] Hotel Coruñamar,TRUE,FALSE,,Rias Altas,-,-,-,-,-,,-,-,,,,,"6,00 €",,,,
[417] Hotel Alda Puerto Calderón,TRUE,TRUE,"10,0%",Asturias,"8,95 €","5,50 €",,-,,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[418] Alda Cabanas Playa,TRUE,FALSE,,Rias Altas,"8,95 €","5,50 €",,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,50 €",,,,,
[419] Hotel Alda Fogar Mariñeiro,TRUE,FALSE,,Asturias,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[420] Hotel Alda Triacastela,TRUE,FALSE,,Galicia Interior,"8,95 €","5,50 €",-,-,-,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[421] Alda Cabanas Nature,FALSE,FALSE,,Rias Altas,-,-,-,-,-,,-,-,,,,,,,,,
[422] Hotel Alda Narón,TRUE,FALSE,"8,3%",Rias Altas,-,-,-,-,"6,50 €","6,50 €",-,-,,,,,"6,00 €","6,00 €",,,"Grupos 6€, uso esporádicamente porque no da servicio diario"
[423] Hotel Alda Carballo,TRUE,FALSE,,Costa da Morte,"8,95 €","5,50 €",,,,,"5,5",5,,,"5,5",5,,,,,
[424] Hotel Alda Corcubión,FALSE,FALSE,,Coste da Morte,,,,,,,,,,,,,,,,,
[425] Hotel Alda Arteixo,TRUE,FALSE,,Costa da Morte,,,"7,50 €","5,50 €","7,50 €","5,50 €","5,50 €","5,00 €","5,50 €","5,00 €","5,50 €","5,00 €","5,50 €","5,00 €",,,
[806] Alda Corrubedo,TRUE,FALSE,,Galicia Centro,,,,,"8,95 €","5,50 €",,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,Por confirmar el precio del infantil
[238] Hotel Alda Ciudad de Corella,FALSE,FALSE,,,"8,95 €","5,50 €",,,,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
[321] Hotel Alda Altiana,FALSE,FALSE,,Galicia Centro,,,"9,00 €","5,50 €",,,"5,50 €","5,00 €",,,"5,50 €","5,00 €",,,,,
